NM_MUN,CD_MUN,TOT_POP,ABS_POP_BRANCA,ABS_POP_PRETA,ABS_POP_AMARELA,ABS_POP_PARDA,ABS_POP_INDIGENA,IGNORADOS,PERC_BRANCA,PERC_PRETA,PERC_AMARELA,PERC_PARDA,PERC_INDIGENA,ABS_INDIGENA_COR_RACA,PERC_INDIGENA_COR_RACA
Piranguçu,  3 150 901 ,   6 041,   4 486,178,5,   1 371,1,0,"74,3","2,9","0,1","22,7","0,0",    1 ,"0,0"
Piranguinho,  3 151 008 ,   9 120,   5 926,342,3,   2 846,3,0,"65,0","3,8","0,0","31,2","0,0",    3 ,"0,0"
Pirapetinga,  3 151 107 ,   11 077,   5 502,   1 697,6,   3 866,5,1,"49,7","15,3","0,1","34,9","0,0",    5 ,"0,0"
Pirapora,  3 151 206 ,   55 606,   11 625,   8 978,142,   34 819,42,0,"20,9","16,1","0,3","62,6","0,1",    42 ,"0,1"
Piraúba,  3 151 305 ,   11 610,   5 330,   1 686,13,   4 576,5,0,"45,9","14,5","0,1","39,4","0,0",    5 ,"0,0"
Pitangui,  3 151 404 ,   26 685,   13 127,   2 926,20,   10 602,10,0,"49,2","11,0","0,1","39,7","0,0",    10 ,"0,0"
Piumhi,  3 151 503 ,   36 062,   20 208,   3 006,49,   12 770,28,1,"56,0","8,3","0,1","35,4","0,1",    28 ,"0,1"
Planura,  3 151 602 ,   11 145,   5 106,917,16,   5 093,13,0,"45,8","8,2","0,1","45,7","0,1",    13 ,"0,1"
Poço Fundo,  3 151 701 ,   16 390,   11 867,808,4,   3 706,5,0,"72,4","4,9","0,0","22,6","0,0",    5 ,"0,0"
Poços de Caldas,  3 151 800 ,   163 742,   106 557,   12 581,573,   43 926,94,11,"65,1","7,7","0,3","26,8","0,1",    94 ,"0,1"
Pocrane,  3 151 909 ,   8 350,   3 372,595,6,   4 376,1,0,"40,4","7,1","0,1","52,4","0,0",    1 ,"0,0"
Pompéu,  3 152 006 ,   31 047,   9 464,   4 947,112,   16 418,105,1,"30,5","15,9","0,4","52,9","0,3",    112 ,"0,4"
Ponte Nova,  3 152 105 ,   57 776,   20 059,   10 700,43,   26 941,31,2,"34,7","18,5","0,1","46,6","0,1",    31 ,"0,1"
Ponto Chique,  3 152 131 ,   3 747,560,644,5,   2 538,- ,0,"14,9","17,2","0,1","67,7","0,0",- ,"0,0"
Ponto dos Volantes,  3 152 170 ,   10 883,   2 308,751,3,   7 821,- ,0,"21,2","6,9","0,0","71,9","0,0",- ,"0,0"
Porteirinha,  3 152 204 ,   37 438,   10 327,   3 418,28,   23 633,30,2,"27,6","9,1","0,1","63,1","0,1",    62 ,"0,2"
Porto Firme,  3 152 303 ,   10 569,   4 199,   1 234,16,   5 105,15,0,"39,7","11,7","0,2","48,3","0,1",    17 ,"0,2"
Poté,  3 152 402 ,   13 666,   2 504,   1 862,8,   9 283,5,4,"18,3","13,6","0,1","67,9","0,0",    5 ,"0,0"
Pouso Alegre,  3 152 501 ,   152 217,   98 588,   10 823,527,   42 185,91,3,"64,8","7,1","0,3","27,7","0,1",    99 ,"0,1"
Pouso Alto,  3 152 600 ,   6 566,   4 574,306,5,   1 680,1,0,"69,7","4,7","0,1","25,6","0,0",    1 ,"0,0"
Prados,  3 152 709 ,   9 048,   4 001,745,10,   4 286,6,0,"44,2","8,2","0,1","47,4","0,1",    6 ,"0,1"
Prata,  3 152 808 ,   28 342,   12 383,   3 007,38,   12 891,22,1,"43,7","10,6","0,1","45,5","0,1",    22 ,"0,1"
Pratápolis,  3 152 907 ,   8 406,   5 671,663,2,   2 069,1,0,"67,5","7,9","0,0","24,6","0,0",    1 ,"0,0"
Pratinha,  3 153 004 ,   3 559,   2 183,204,1,   1 170,1,0,"61,3","5,7","0,0","32,9","0,0",    1 ,"0,0"
Presidente Bernardes,  3 153 103 ,   4 850,   2 149,658,1,   2 041,1,0,"44,3","13,6","0,0","42,1","0,0",    1 ,"0,0"
Presidente Juscelino,  3 153 202 ,   3 465,570,423,- ,   2 472,- ,0,"16,5","12,2","0,0","71,3","0,0",- ,"0,0"
Presidente Kubitschek,  3 153 301 ,   3 071,499,534,1,   2 033,3,1,"16,3","17,4","0,0","66,2","0,1",    3 ,"0,1"
Presidente Olegário,  3 153 400 ,   18 765,   8 371,   1 081,21,   9 218,74,0,"44,6","5,8","0,1","49,1","0,4",    80 ,"0,4"
Alto Jequitibá,  3 153 509 ,   8 397,   5 077,528,2,   2 790,- ,0,"60,5","6,3","0,0","33,2","0,0",- ,"0,0"
Prudente de Morais,  3 153 608 ,   11 466,   2 778,   1 542,37,   7 097,12,0,"24,2","13,4","0,3","61,9","0,1",    61 ,"0,5"
Quartel Geral,  3 153 707 ,   3 179,   1 494,350,2,   1 333,- ,0,"47,0","11,0","0,1","41,9","0,0",- ,"0,0"
Queluzito,  3 153 806 ,   1 770,   1 048,156,2,561,3,0,"59,2","8,8","0,1","31,7","0,2",    3 ,"0,2"
Raposos,  3 153 905 ,   16 279,   4 251,   2 688,7,   9 328,5,0,"26,1","16,5","0,0","57,3","0,0",    5 ,"0,0"
Raul Soares,  3 154 002 ,   23 423,   8 816,   2 407,20,   12 166,13,1,"37,6","10,3","0,1","51,9","0,1",    37 ,"0,2"
Recreio,  3 154 101 ,   11 007,   5 950,   2 295,- ,   2 762,- ,0,"54,1","20,9","0,0","25,1","0,0",- ,"0,0"
Reduto,  3 154 150 ,   7 848,   3 187,715,2,   3 940,4,0,"40,6","9,1","0,0","50,2","0,1",    4 ,"0,1"
Resende Costa,  3 154 200 ,   11 230,   6 586,   1 338,26,   3 270,10,0,"58,6","11,9","0,2","29,1","0,1",    10 ,"0,1"
Resplendor,  3 154 309 ,   17 226,   5 518,   1 541,9,   9 594,564,0,"32,0","8,9","0,1","55,7","3,3",    603 ,"3,5"
Ressaquinha,  3 154 408 ,   4 548,   2 363,285,5,   1 882,11,2,"52,0","6,3","0,1","41,4","0,2",    11 ,"0,2"
Riachinho,  3 154 457 ,   6 863,   1 521,829,5,   4 506,2,0,"22,2","12,1","0,1","65,7","0,0",    2 ,"0,0"
Riacho dos Machados,  3 154 507 ,   8 756,   2 046,739,9,   5 955,7,0,"23,4","8,4","0,1","68,0","0,1",    7 ,"0,1"
Ribeirão das Neves,  3 154 606 ,   329 794,   79 707,   61 690,264,   187 741,362,30,"24,2","18,7","0,1","56,9","0,1",    362 ,"0,1"
Ribeirão Vermelho,  3 154 705 ,   4 080,   1 824,655,4,   1 596,1,0,"44,7","16,1","0,1","39,1","0,0",    1 ,"0,0"
Rio Acima,  3 154 804 ,   10 261,   2 510,   1 913,14,   5 806,18,0,"24,5","18,6","0,1","56,6","0,2",    18 ,"0,2"
Rio Casca,  3 154 903 ,   12 789,   3 481,   2 410,26,   6 858,14,0,"27,2","18,8","0,2","53,6","0,1",    14 ,"0,1"
Rio Doce,  3 155 009 ,   2 484,786,409,5,   1 280,4,0,"31,6","16,5","0,2","51,5","0,2",    4 ,"0,2"
Rio do Prado,  3 155 108 ,   4 639,   1 066,456,2,   3 111,4,0,"23,0","9,8","0,0","67,1","0,1",    4 ,"0,1"
Rio Espera,  3 155 207 ,   5 429,   2 841,603,3,   1 974,8,0,"52,3","11,1","0,1","36,4","0,1",    8 ,"0,1"
Rio Manso,  3 155 306 ,   5 568,   2 747,379,5,   2 435,1,1,"49,3","6,8","0,1","43,7","0,0",    1 ,"0,0"
Rio Novo,  3 155 405 ,   8 518,   4 477,   1 447,14,   2 580,- ,0,"52,6","17,0","0,2","30,3","0,0",- ,"0,0"
Rio Paranaíba,  3 155 504 ,   14 532,   7 274,   1 264,31,   5 961,- ,2,"50,1","8,7","0,2","41,0","0,0",- ,"0,0"
Rio Pardo de Minas,  3 155 603 ,   28 271,   8 138,956,14,   19 156,7,0,"28,8","3,4","0,0","67,8","0,0",    7 ,"0,0"
Rio Piracicaba,  3 155 702 ,   14 631,   4 549,   2 849,7,   7 219,7,0,"31,1","19,5","0,0","49,3","0,0",    7 ,"0,0"
Rio Pomba,  3 155 801 ,   17 443,   8 985,   2 305,5,   6 136,12,0,"51,5","13,2","0,0","35,2","0,1",    12 ,"0,1"
Rio Preto,  3 155 900 ,   5 141,   2 730,500,3,   1 906,2,0,"53,1","9,7","0,1","37,1","0,0",    2 ,"0,0"
Rio Vermelho,  3 156 007 ,   12 641,   1 961,   1 518,2,   9 159,1,0,"15,5","12,0","0,0","72,5","0,0",    1 ,"0,0"
Ritápolis,  3 156 106 ,   4 994,   2 756,148,- ,   2 090,- ,0,"55,2","3,0","0,0","41,9","0,0",- ,"0,0"
Rochedo de Minas,  3 156 205 ,   2 291,991,357,1,942,- ,0,"43,3","15,6","0,0","41,1","0,0",- ,"0,0"
Rodeiro,  3 156 304 ,   8 664,   3 820,968,8,   3 867,1,0,"44,1","11,2","0,1","44,6","0,0",    1 ,"0,0"
Romaria,  3 156 403 ,   3 386,   1 839,268,2,   1 276,1,0,"54,3","7,9","0,1","37,7","0,0",    1 ,"0,0"
Rosário da Limeira,  3 156 452 ,   4 734,   2 209,255,- ,   2 270,- ,0,"46,7","5,4","0,0","48,0","0,0",- ,"0,0"
Rubelita,  3 156 502 ,   5 679,   1 346,324,2,   4 001,6,0,"23,7","5,7","0,0","70,5","0,1",    6 ,"0,1"
Rubim,  3 156 601 ,   10 298,   2 396,894,5,   6 994,4,5,"23,3","8,7","0,0","67,9","0,0",    4 ,"0,0"
Sabará,  3 156 700 ,   129 380,   34 243,   25 906,112,   68 997,117,5,"26,5","20,0","0,1","53,3","0,1",    117 ,"0,1"
Sabinópolis,  3 156 809 ,   14 240,   2 496,   2 160,9,   9 572,3,0,"17,5","15,2","0,1","67,2","0,0",    3 ,"0,0"
Sacramento,  3 156 908 ,   26 670,   14 283,   2 303,33,   10 005,45,1,"53,6","8,6","0,1","37,5","0,2",    45 ,"0,2"
Salinas,  3 157 005 ,   40 178,   11 770,   2 588,68,   25 710,41,1,"29,3","6,4","0,2","64,0","0,1",    41 ,"0,1"
Salto da Divisa,  3 157 104 ,   6 110,   1 225,952,11,   3 921,1,0,"20,0","15,6","0,2","64,2","0,0",    1 ,"0,0"
Santa Bárbara,  3 157 203 ,   30 466,   8 469,   5 258,34,   16 670,33,2,"27,8","17,3","0,1","54,7","0,1",    33 ,"0,1"
Santa Bárbara do Leste,  3 157 252 ,   8 458,   2 925,658,19,   4 849,7,0,"34,6","7,8","0,2","57,3","0,1",    7 ,"0,1"
Santa Bárbara do Monte Verde,  3 157 278 ,   3 095,   1 483,432,1,   1 176,3,0,"47,9","14,0","0,0","38,0","0,1",    3 ,"0,1"
Santa Bárbara do Tugúrio,  3 157 302 ,   4 208,   2 033,256,1,   1 918,- ,0,"48,3","6,1","0,0","45,6","0,0",- ,"0,0"
Santa Cruz de Minas,  3 157 336 ,   8 109,   3 592,860,16,   3 640,1,0,"44,3","10,6","0,2","44,9","0,0",    1 ,"0,0"
Santa Cruz de Salinas,  3 157 377 ,   3 910,   1 181,252,3,   2 470,4,0,"30,2","6,4","0,1","63,2","0,1",    4 ,"0,1"
Santa Cruz do Escalvado,  3 157 401 ,   4 673,770,346,1,   3 555,1,0,"16,5","7,4","0,0","76,1","0,0",    1 ,"0,0"
Santa Efigênia de Minas,  3 157 500 ,   4 039,934,317,11,   2 769,8,0,"23,1","7,8","0,3","68,6","0,2",    8 ,"0,2"
Santa Fé de Minas,  3 157 609 ,   3 522,480,533,4,   2 502,3,0,"13,6","15,1","0,1","71,0","0,1",    3 ,"0,1"
Santa Helena de Minas,  3 157 658 ,   5 938,889,599,1,   3 215,   1 234,0,"15,0","10,1","0,0","54,1","20,8",   1 239 ,"20,9"
Santa Juliana,  3 157 708 ,   15 734,   6 918,883,29,   7 899,5,0,"44,0","5,6","0,2","50,2","0,0",    5 ,"0,0"
Santa Luzia,  3 157 807 ,   219 132,   56 540,   42 743,203,   119 430,211,5,"25,8","19,5","0,1","54,5","0,1",    211 ,"0,1"
Santa Margarida,  3 157 906 ,   16 395,   6 007,   1 522,2,   8 861,3,0,"36,6","9,3","0,0","54,0","0,0",    3 ,"0,0"
Santa Maria de Itabira,  3 158 003 ,   10 485,   2 140,   2 702,- ,   5 642,1,0,"20,4","25,8","0,0","53,8","0,0",    1 ,"0,0"
Santa Maria do Salto,  3 158 102 ,   4 755,   1 242,354,1,   3 155,3,0,"26,1","7,4","0,0","66,4","0,1",    3 ,"0,1"
Santa Maria do Suaçuí,  3 158 201 ,   12 788,   2 637,   1 341,21,   8 781,6,2,"20,6","10,5","0,2","68,7","0,0",    6 ,"0,0"
Santana da Vargem,  3 158 300 ,   6 691,   3 294,704,5,   2 686,2,0,"49,2","10,5","0,1","40,1","0,0",    2 ,"0,0"
Santana de Cataguases,  3 158 409 ,   3 489,   1 846,449,1,   1 193,- ,0,"52,9","12,9","0,0","34,2","0,0",- ,"0,0"
Santana de Pirapama,  3 158 508 ,   7 030,   1 666,541,15,   4 807,- ,1,"23,7","7,7","0,2","68,4","0,0",- ,"0,0"
Santana do Deserto,  3 158 607 ,   3 747,   1 289,847,27,   1 582,2,0,"34,4","22,6","0,7","42,2","0,1",    2 ,"0,1"
Santana do Garambéu,  3 158 706 ,   2 137,962,206,23,938,8,0,"45,0","9,6","1,1","43,9","0,4",    8 ,"0,4"
Santana do Jacaré,  3 158 805 ,   4 214,   1 761,490,1,   1 954,8,0,"41,8","11,6","0,0","46,4","0,2",    8 ,"0,2"
Santana do Manhuaçu,  3 158 904 ,   8 987,   2 542,794,4,   5 645,2,0,"28,3","8,8","0,0","62,8","0,0",    2 ,"0,0"
Santana do Paraíso,  3 158 953 ,   44 800,   13 150,   5 417,48,   26 169,16,0,"29,4","12,1","0,1","58,4","0,0",    16 ,"0,0"
Santana do Riacho,  3 159 001 ,   5 313,   1 433,435,3,   3 437,5,0,"27,0","8,2","0,1","64,7","0,1",    39 ,"0,7"
Santana dos Montes,  3 159 100 ,   3 469,   1 420,447,2,   1 597,3,0,"40,9","12,9","0,1","46,0","0,1",    3 ,"0,1"
Santa Rita de Caldas,  3 159 209 ,   8 460,   6 667,391,16,   1 382,4,0,"78,8","4,6","0,2","16,3","0,0",    4 ,"0,0"
Santa Rita de Jacutinga,  3 159 308 ,   4 755,   2 939,407,1,   1 408,- ,0,"61,8","8,6","0,0","29,6","0,0",- ,"0,0"
Santa Rita de Minas,  3 159 357 ,   6 773,   2 179,608,2,   3 984,- ,0,"32,2","9,0","0,0","58,8","0,0",- ,"0,0"
Santa Rita de Ibitipoca,  3 159 407 ,   3 301,   1 863,309,2,   1 124,2,1,"56,5","9,4","0,1","34,1","0,1",    2 ,"0,1"
Santa Rita do Itueto,  3 159 506 ,   5 826,   2 271,471,5,   3 053,26,0,"39,0","8,1","0,1","52,4","0,4",    26 ,"0,4"
Santa Rita do Sapucaí,  3 159 605 ,   40 635,   25 452,   2 855,69,   12 231,26,2,"62,6","7,0","0,2","30,1","0,1",    26 ,"0,1"
Santa Rosa da Serra,  3 159 704 ,   3 382,   1 595,309,- ,   1 470,8,0,"47,2","9,1","0,0","43,5","0,2",    8 ,"0,2"
Santa Vitória,  3 159 803 ,   20 973,   8 761,   1 563,9,   10 622,17,1,"41,8","7,5","0,0","50,6","0,1",    17 ,"0,1"
Santo Antônio do Amparo,  3 159 902 ,   17 285,   5 841,   2 803,15,   8 618,7,1,"33,8","16,2","0,1","49,9","0,0",    7 ,"0,0"
Santo Antônio do Aventureiro,  3 160 009 ,   3 769,   2 065,603,6,   1 094,1,0,"54,8","16,0","0,2","29,0","0,0",    1 ,"0,0"
Santo Antônio do Grama,  3 160 108 ,   4 229,   1 324,540,1,   2 364,- ,0,"31,3","12,8","0,0","55,9","0,0",- ,"0,0"
Santo Antônio do Itambé,  3 160 207 ,   3 915,332,680,3,   2 900,- ,0,"8,5","17,4","0,1","74,1","0,0",- ,"0,0"
Santo Antônio do Jacinto,  3 160 306 ,   10 327,   2 468,843,18,   6 968,30,0,"23,9","8,2","0,2","67,5","0,3",    30 ,"0,3"
Santo Antônio do Monte,  3 160 405 ,   27 295,   16 965,   1 758,22,   8 542,4,4,"62,2","6,4","0,1","31,3","0,0",    4 ,"0,0"
Santo Antônio do Retiro,  3 160 454 ,   6 629,   2 269,406,- ,   3 954,- ,0,"34,2","6,1","0,0","59,6","0,0",- ,"0,0"
Santo Antônio do Rio Abaixo,  3 160 504 ,   1 808,495,265,1,   1 047,- ,0,"27,4","14,7","0,1","57,9","0,0",- ,"0,0"
Santo Hipólito,  3 160 603 ,   2 717,449,458,- ,   1 810,- ,0,"16,5","16,9","0,0","66,6","0,0",- ,"0,0"
Santos Dumont,  3 160 702 ,   42 406,   20 530,   6 342,30,   15 490,13,1,"48,4","15,0","0,1","36,5","0,0",    13 ,"0,0"
São Bento Abade,  3 160 801 ,   4 713,   1 458,681,6,   2 567,1,0,"30,9","14,4","0,1","54,5","0,0",    1 ,"0,0"
São Brás do Suaçuí,  3 160 900 ,   3 989,   1 365,578,2,   2 043,1,0,"34,2","14,5","0,1","51,2","0,0",    1 ,"0,0"
São Domingos das Dores,  3 160 959 ,   5 626,   2 079,334,3,   3 205,5,0,"37,0","5,9","0,1","57,0","0,1",    5 ,"0,1"
São Domingos do Prata,  3 161 007 ,   17 392,   5 292,   2 960,18,   9 104,18,0,"30,4","17,0","0,1","52,3","0,1",    18 ,"0,1"
São Félix de Minas,  3 161 056 ,   3 200,893,229,7,   2 069,2,0,"27,9","7,2","0,2","64,7","0,1",    2 ,"0,1"
São Francisco,  3 161 106 ,   52 762,   9 106,   8 095,127,   35 288,146,0,"17,3","15,3","0,2","66,9","0,3",    146 ,"0,3"
São Francisco de Paula,  3 161 205 ,   6 187,   3 034,740,4,   2 408,1,0,"49,0","12,0","0,1","38,9","0,0",    1 ,"0,0"
São Francisco de Sales,  3 161 304 ,   5 732,   2 542,397,13,   2 778,2,0,"44,3","6,9","0,2","48,5","0,0",    2 ,"0,0"
São Francisco do Glória,  3 161 403 ,   4 800,   2 171,599,15,   2 014,1,0,"45,2","12,5","0,3","42,0","0,0",    1 ,"0,0"
São Geraldo,  3 161 502 ,   10 282,   4 661,   1 211,8,   4 392,8,2,"45,3","11,8","0,1","42,7","0,1",    8 ,"0,1"
São Geraldo da Piedade,  3 161 601 ,   3 305,559,594,3,   2 149,- ,0,"16,9","18,0","0,1","65,0","0,0",- ,"0,0"
São Geraldo do Baixio,  3 161 650 ,   3 143,989,256,- ,   1 896,2,0,"31,5","8,1","0,0","60,3","0,1",    2 ,"0,1"
São Gonçalo do Abaeté,  3 161 700 ,   7 375,   2 168,853,- ,   4 350,4,0,"29,4","11,6","0,0","59,0","0,1",    4 ,"0,1"
São Gonçalo do Pará,  3 161 809 ,   11 770,   5 579,   1 142,8,   5 030,11,0,"47,4","9,7","0,1","42,7","0,1",    11 ,"0,1"
São Gonçalo do Rio Abaixo,  3 161 908 ,   11 850,   2 618,   2 431,14,   6 776,10,1,"22,1","20,5","0,1","57,2","0,1",    10 ,"0,1"
São Gonçalo do Sapucaí,  3 162 005 ,   23 959,   13 590,   1 833,59,   8 466,11,0,"56,7","7,7","0,2","35,3","0,0",    11 ,"0,0"
São Gotardo,  3 162 104 ,   40 910,   16 571,   3 482,394,   20 435,28,0,"40,5","8,5","1,0","50,0","0,1",    28 ,"0,1"
São João Batista do Glória,  3 162 203 ,   7 652,   4 959,350,12,   2 329,1,1,"64,8","4,6","0,2","30,4","0,0",    1 ,"0,0"
São João da Lagoa,  3 162 252 ,   4 822,973,393,10,   3 443,3,0,"20,2","8,2","0,2","71,4","0,1",    3 ,"0,1"
São João da Mata,  3 162 302 ,   2 914,   2 428,98,1,385,2,0,"83,3","3,4","0,0","13,2","0,1",    2 ,"0,1"
São João da Ponte,  3 162 401 ,   23 930,   5 043,   3 022,23,   15 834,8,0,"21,1","12,6","0,1","66,2","0,0",    97 ,"0,4"
São João das Missões,  3 162 450 ,   13 024,788,342,- ,   2 525,   9 369,0,"6,1","2,6","0,0","19,4","71,9",   10 398 ,"79,8"
São João del Rei,  3 162 500 ,   90 225,   46 774,   10 068,109,   33 184,55,35,"51,9","11,2","0,1","36,8","0,1",    59 ,"0,1"
São João do Manhuaçu,  3 162 559 ,   11 246,   4 518,735,1,   5 990,1,1,"40,2","6,5","0,0","53,3","0,0",    1 ,"0,0"
São João do Manteninha,  3 162 575 ,   5 331,   1 613,423,2,   3 293,- ,0,"30,3","7,9","0,0","61,8","0,0",- ,"0,0"
São João do Oriente,  3 162 609 ,   7 070,   2 791,420,20,   3 838,1,0,"39,5","5,9","0,3","54,3","0,0",    1 ,"0,0"
São João do Pacuí,  3 162 658 ,   3 972,757,580,- ,   2 635,- ,0,"19,1","14,6","0,0","66,3","0,0",- ,"0,0"
São João do Paraíso,  3 162 708 ,   23 910,   7 307,   1 026,21,   15 542,14,0,"30,6","4,3","0,1","65,0","0,1",    14 ,"0,1"
São João Evangelista,  3 162 807 ,   15 315,   3 361,   1 487,14,   10 446,5,2,"21,9","9,7","0,1","68,2","0,0",    5 ,"0,0"
São João Nepomuceno,  3 162 906 ,   25 565,   13 132,   3 897,12,   8 513,11,0,"51,4","15,2","0,0","33,3","0,0",    11 ,"0,0"
São Joaquim de Bicas,  3 162 922 ,   34 348,   9 149,   5 087,65,   19 792,255,0,"26,6","14,8","0,2","57,6","0,7",    356 ,"1,0"
São José da Barra,  3 162 948 ,   7 793,   4 789,556,16,   2 424,8,0,"61,5","7,1","0,2","31,1","0,1",    8 ,"0,1"
São José da Lapa,  3 162 955 ,   26 090,   7 161,   4 359,30,   14 503,37,0,"27,4","16,7","0,1","55,6","0,1",    37 ,"0,1"
São José da Safira,  3 163 003 ,   3 806,634,616,5,   2 548,3,0,"16,7","16,2","0,1","66,9","0,1",    3 ,"0,1"
São José da Varginha,  3 163 102 ,   4 536,   1 764,407,5,   2 353,7,0,"38,9","9,0","0,1","51,9","0,2",    7 ,"0,2"
São José do Alegre,  3 163 201 ,   4 133,   3 009,181,5,936,2,0,"72,8","4,4","0,1","22,6","0,0",    6 ,"0,1"
São José do Divino,  3 163 300 ,   3 464,849,349,1,   2 263,2,0,"24,5","10,1","0,0","65,3","0,1",    2 ,"0,1"
São José do Goiabal,  3 163 409 ,   5 396,   1 322,   1 103,3,   2 968,- ,0,"24,5","20,4","0,1","55,0","0,0",- ,"0,0"
São José do Jacuri,  3 163 508 ,   6 197,   1 300,480,9,   4 397,11,0,"21,0","7,7","0,1","71,0","0,2",    11 ,"0,2"
São José do Mantimento,  3 163 607 ,   2 753,   1 188,189,2,   1 374,- ,0,"43,2","6,9","0,1","49,9","0,0",- ,"0,0"
São Lourenço,  3 163 706 ,   44 798,   29 841,   3 267,79,   11 576,35,0,"66,6","7,3","0,2","25,8","0,1",    35 ,"0,1"
São Miguel do Anta,  3 163 805 ,   6 334,   2 514,849,3,   2 964,4,0,"39,7","13,4","0,0","46,8","0,1",    4 ,"0,1"
São Pedro da União,  3 163 904 ,   4 885,   3 624,181,7,   1 073,- ,0,"74,2","3,7","0,1","22,0","0,0",- ,"0,0"
São Pedro dos Ferros,  3 164 001 ,   7 166,   2 025,   1 590,31,   3 520,- ,0,"28,3","22,2","0,4","49,1","0,0",- ,"0,0"
São Pedro do Suaçuí,  3 164 100 ,   5 103,   1 008,551,- ,   3 542,2,0,"19,8","10,8","0,0","69,4","0,0",    2 ,"0,0"
São Romão,  3 164 209 ,   10 315,   1 169,   1 977,21,   7 139,9,0,"11,3","19,2","0,2","69,2","0,1",    9 ,"0,1"
São Roque de Minas,  3 164 308 ,   7 129,   4 526,491,6,   2 103,3,0,"63,5","6,9","0,1","29,5","0,0",    3 ,"0,0"
São Sebastião da Bela Vista,  3 164 407 ,   6 387,   3 746,355,16,   2 269,1,0,"58,7","5,6","0,3","35,5","0,0",    1 ,"0,0"
São Sebastião da Vargem Alegre,  3 164 431 ,   3 113,   2 158,175,- ,780,- ,0,"69,3","5,6","0,0","25,1","0,0",- ,"0,0"
São Sebastião do Anta,  3 164 472 ,   6 194,   1 990,341,3,   3 856,4,0,"32,1","5,5","0,0","62,3","0,1",    4 ,"0,1"
São Sebastião do Maranhão,  3 164 506 ,   10 079,   2 100,468,2,   7 508,1,0,"20,8","4,6","0,0","74,5","0,0",    1 ,"0,0"
São Sebastião do Oeste,  3 164 605 ,   8 815,   4 347,589,6,   3 873,- ,0,"49,3","6,7","0,1","43,9","0,0",- ,"0,0"
São Sebastião do Paraíso,  3 164 704 ,   71 796,   44 029,   4 342,104,   23 281,40,0,"61,3","6,0","0,1","32,4","0,1",    40 ,"0,1"
São Sebastião do Rio Preto,  3 164 803 ,   1 259,393,194,- ,672,- ,0,"31,2","15,4","0,0","53,4","0,0",- ,"0,0"
São Sebastião do Rio Verde,  3 164 902 ,   2 300,   1 814,110,- ,376,- ,0,"78,9","4,8","0,0","16,3","0,0",- ,"0,0"
São Tiago,  3 165 008 ,   11 192,   6 119,   1 270,1,   3 795,7,0,"54,7","11,3","0,0","33,9","0,1",    7 ,"0,1"
São Tomás de Aquino,  3 165 107 ,   6 740,   3 603,475,4,   2 657,1,0,"53,5","7,0","0,1","39,4","0,0",    1 ,"0,0"
São Tomé das Letras,  3 165 206 ,   6 904,   3 785,646,13,   2 438,22,0,"54,8","9,4","0,2","35,3","0,3",    22 ,"0,3"
São Vicente de Minas,  3 165 305 ,   6 804,   2 851,   1 196,14,   2 737,5,1,"41,9","17,6","0,2","40,2","0,1",    5 ,"0,1"
Sapucaí-Mirim,  3 165 404 ,   6 311,   4 546,204,13,   1 548,- ,0,"72,0","3,2","0,2","24,5","0,0",- ,"0,0"
Sardoá,  3 165 503 ,   5 104,   1 145,438,5,   3 515,1,0,"22,4","8,6","0,1","68,9","0,0",    1 ,"0,0"
Sarzedo,  3 165 537 ,   36 844,   10 659,   5 665,37,   20 468,15,0,"28,9","15,4","0,1","55,6","0,0",    15 ,"0,0"
Setubinha,  3 165 552 ,   9 917,   1 096,   1 571,13,   7 235,2,0,"11,1","15,8","0,1","73,0","0,0",    2 ,"0,0"
Sem-Peixe,  3 165 560 ,   2 433,685,360,10,   1 375,3,0,"28,2","14,8","0,4","56,5","0,1",    3 ,"0,1"
Senador Amaral,  3 165 578 ,   6 206,   4 243,318,74,   1 569,2,0,"68,4","5,1","1,2","25,3","0,0",    2 ,"0,0"
Senador Cortes,  3 165 602 ,   2 240,897,636,4,702,1,0,"40,0","28,4","0,2","31,3","0,0",    1 ,"0,0"
Senador Firmino,  3 165 701 ,   7 716,   4 129,523,7,   3 044,12,1,"53,5","6,8","0,1","39,5","0,2",    12 ,"0,2"
Senador José Bento,  3 165 800 ,   2 068,   1 550,108,1,409,- ,0,"75,0","5,2","0,0","19,8","0,0",- ,"0,0"
Senador Modestino Gonçalves,  3 165 909 ,   4 008,956,511,- ,   2 541,- ,0,"23,9","12,7","0,0","63,4","0,0",- ,"0,0"
Senhora de Oliveira,  3 166 006 ,   5 483,   2 642,625,7,   2 208,1,0,"48,2","11,4","0,1","40,3","0,0",    1 ,"0,0"
Senhora do Porto,  3 166 105 ,   3 067,709,542,4,   1 811,1,0,"23,1","17,7","0,1","59,0","0,0",    1 ,"0,0"
Senhora dos Remédios,  3 166 204 ,   10 384,   5 862,756,19,   3 745,1,1,"56,5","7,3","0,2","36,1","0,0",    1 ,"0,0"
Sericita,  3 166 303 ,   7 345,   2 802,590,5,   3 941,7,0,"38,1","8,0","0,1","53,7","0,1",    17 ,"0,2"
Seritinga,  3 166 402 ,   1 819,   1 172,107,1,539,- ,0,"64,4","5,9","0,1","29,6","0,0",- ,"0,0"
Serra Azul de Minas,  3 166 501 ,   3 792,447,330,3,   3 010,2,0,"11,8","8,7","0,1","79,4","0,1",    2 ,"0,1"
